"a_o_creacion","mes_creacion","tipo_entidad","codigo_entidad","instancia_recepcion","motivo","producto","departamento","municipio","cantidad_quejas_recibidas"
"2026","3","1","7","Entidad vigilada","Inconsistencias en el movimiento y saldo total del producto","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","2"
"2026","3","1","1","Superintendencia Financiera de Colombia","Revisión y/o liquidación de productos","Creditos de consumo","ANTIOQUIA","GUARNE","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","VALLE DEL CAUCA","ROLDANILLO","1"
"2026","3","1","30","Entidad vigilada","Inconsistencia en el cobro de gastos","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Inconformidad en proceso de embargos","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","4"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","VALLE DEL CAUCA","CALI","1"
"2026","3","128","6","Superintendencia Financiera de Colombia","Información o asesoría incompleta y/o errada","Otros productos de Fiduciarias","SUCRE","SAN JUAN DE BETULIA","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Créditos de vivienda","ANTIOQUIA","MEDELLÍN","9"
"2026","3","1","39","Entidad vigilada","Transacción mal aplicada","Cuenta de ahorro","CUNDINAMARCA","EL ROSAL","1"
"2026","3","1","43","Entidad vigilada","Transferencias erradas o duplicadas","Otros productos de Establecimientos de Crédito y SEDPE","SANTANDER","BARRANCABERMEJA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","ARAUCA","SARAVENA","1"
"2026","3","1","39","Entidad vigilada","Otros motivos","Otros productos de Establecimientos de Crédito y SEDPE","VALLE DEL CAUCA","CALI","1"
"2026","3","1","7","Superintendencia Financiera de Colombia","Inconsistencia en seguros","Cuenta de ahorro","CUNDINAMARCA","MOSQUERA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","CUNDINAMARCA","EL COLEGIO","1"
"2026","3","1","7","Entidad vigilada","Inconsistencias en los pagos a terceros","Cuenta de ahorro","BOLÍVAR","CARTAGENA DE INDIAS","1"
"2026","3","1","7","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","MEDELLÍN","130"
"2026","3","14","23","Superintendencia Financiera de Colombia","INCONFORMIDADES CON LA DEFINICIÓN Y/O EL PROCESO DE PAGO DE LA INDEMNIZACIÓN","Seguro de riesgos laborales","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","ARAUCA","ARAUCA","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","MEDELLÍN","37"
"2026","3","1","7","Entidad vigilada","Inconsistencia en el cobro de gastos","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","21"
"2026","3","1","7","Entidad vigilada","Demora o no aplicación del pago","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","42","Entidad vigilada","No disponibilidad o fallas de los canales de atención","Tarjetas de crédito","BOGOTÁ, D.C.","BOGOTÁ, D.C.","3"
