tipo_entidad,codigo_entidad,instancia_recepcion,producto,departamento,cantidad_quejas_recibidas,es_fraude
1,39,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,1,1
1,7,Entidad vigilada,Cuenta de ahorro,NORTE DE SANTANDER,1,0
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,HUILA,2,1
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,"BOGOTÁ, D.C.",3,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,CASANARE,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,190,0
1,7,Entidad vigilada,Creditos de consumo,ANTIOQUIA,2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CESAR,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,43,Entidad vigilada,Cuenta de ahorro,TOLIMA,1,0
1,43,Entidad vigilada,Cuenta de ahorro,CALDAS,1,0
1,43,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
14,11,Entidad vigilada,Seguro de riesgos laborales,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),BOYACÁ,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,10,0
1,39,Entidad vigilada,Cuenta de ahorro,HUILA,3,1
32,5,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ATLÁNTICO,2,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,HUILA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CHOCÓ,3,1
14,23,Otra (remisión por competencia),Seguro de riesgos laborales,PUTUMAYO,1,0
